,id,pair,cue,target,cond,guess,phase,corr,corr_g,c2t,c2g,t2g,finguess,intrusions
2031,33,52,task,alone,0,,2,0,,0.3995754,,,,
2032,33,53,scarf,silk,0,,1,0,,0.63188416,,,,
2033,33,54,pack,full,1,trip,2,1,1.0,0.40528598,0.27534133195877075,0.2892288267612457,trip,0.0
2034,33,55,going,there,0,,2,1,,0.7492553,,,,
2035,33,56,honor,month,1,pleasure,2,1,0.0,0.26787153,0.34196582436561584,0.2360571026802063,code,0.0
2036,33,57,gin,sharp,0,,2,0,,0.16577865,,,,
2037,33,58,royal,hotel,0,,2,1,,0.34354278,,,,
2038,33,59,mend,hot,0,,2,0,,0.094790205,,,,
2039,33,60,vine,navy,1,wine,2,1,0.0,0.12478929,0.4292560815811157,0.18394653499126434,grow,0.0
2040,34,1,bus,hurt,1,road,1,1,,0.25217578,0.5254782438278198,0.3142845332622528,,0.0
2041,34,2,croak,top,1,frog,1,1,1.0,-0.12875935,0.32010501623153687,0.18999415636062622,frog,0.0
2042,34,3,court,jail,0,,1,1,,0.566291,,,,
2043,34,4,vivid,sit,0,,1,1,,0.13455118,,,,
2044,34,5,year,minor,0,,1,1,,0.2496387,,,,
2045,34,6,essay,glue,0,,1,0,,0.015665948,,,,
2046,34,7,snow,road,0,,1,0,,0.44269753,,,,
2047,34,8,bay,beach,1,bridge,1,1,,0.5876903,0.3442363739013672,0.2958368957042694,,0.0
2048,34,9,learn,find,0,,1,1,,0.62303567,,,,
2049,34,10,just,need,0,,1,1,,0.6575736,,,,
2050,34,11,tile,sand,1,crak,1,1,,0.39506063,-0.012238734401762486,0.001204217318445444,,0.0
2051,34,12,cabin,jelly,1,tree,1,0,,0.061660893,0.2933814823627472,0.2878775894641876,,0.0
2052,34,13,many,all,0,,1,1,,0.7478515,,,,
2053,34,14,sap,laugh,1,tree,1,1,1.0,0.08919973,0.39490416646003723,0.20374198257923126,tree,0.0
2054,34,15,inch,cover,0,,1,1,,0.23288062,,,,
2055,34,16,bike,paint,0,,1,1,,0.31452736,,,,
2056,34,17,baby,toy,1,sand,1,1,0.0,0.5090242,0.2730676829814911,0.23519711196422577,toy,0.0
2057,34,18,pious,add,1,add,1,1,1.0,-0.005233292,-0.005233292002230883,1.0,add,1.0
2058,34,19,write,step,0,,1,0,,0.36689934,,,,
2059,34,20,fairy,paper,1,glass,1,1,,0.25410262,0.2774999737739563,0.34259670972824097,,0.0
2060,34,21,think,know,1,tree,1,1,,0.88507104,0.251348078250885,0.2770759165287018,,0.0
2061,34,22,wart,news,0,,1,1,,-0.0072534606,,,,
2062,34,23,mild,track,1,grass,1,0,0.0,0.10546857,0.264119029045105,0.24820677936077118,,0.0
2063,34,24,night,show,1,fall,1,1,,0.5008233,0.4662657380104065,0.4338422119617462,,0.0
2064,34,25,best,great,1,water,1,1,,0.70658535,0.2995232939720154,0.3340454399585724,,0.0
2065,34,26,wrong,kill,1,sorry,1,1,,0.45672953,0.6841729879379272,0.3976074755191803,,0.0
2066,34,27,jog,rent,0,,1,0,,0.08143854,,,,
2067,34,28,acorn,minus,0,,1,1,,0.08931689,,,,
2068,34,29,dent,fire,0,,1,1,,0.17562199,,,,
2069,34,30,cent,art,1,spend,1,1,1.0,0.072835386,0.33554714918136597,0.23360112309455872,spend,0.0
2070,34,31,shiny,layer,1,spark,2,0,,0.2976558,0.18962541222572327,0.12300427258014679,,0.0
2071,34,32,blues,music,1,cloud,2,1,0.0,0.5405771,0.17811319231987,0.15938277542591095,music,0.0
2072,34,33,dip,bossy,1,chip,2,0,,-0.013717066,0.4009917676448822,-0.020937418565154076,,0.0
2073,34,34,notes,stair,0,,2,0,,0.05721494,,,,
2074,34,35,bun,lake,0,,2,1,,0.08999329,,,,
2075,34,36,agony,hound,0,,1,0,,0.2622713,,,,
2076,34,37,tug,vote,1,war,2,0,1.0,0.0065951585,0.1973920464515686,0.3048691153526306,war,0.0
2077,34,38,wood,fear,1,hurt,2,1,0.0,0.18111432,0.16936330497264862,0.5890925526618958,tree,0.0
2078,34,39,yearn,cards,0,,2,0,,0.06786431,,,,
2079,34,40,pork,beef,0,,2,1,,0.84590256,,,,
2080,34,41,prism,hurry,0,,2,1,,-0.036625378,,,,
2081,34,42,tired,bored,0,,2,1,,0.7057688,,,,
2082,34,43,yolk,money,1,egg,2,1,,0.015234128,0.7373756170272827,0.20157113671302795,,0.0
2083,34,44,slurp,west,0,,2,1,,-0.084954344,,,,
2084,34,45,rude,dish,0,,2,0,,0.18629928,,,,
2085,34,46,doze,plus,1,sleep,2,1,1.0,0.020389317,0.5591707825660706,0.2367756962776184,sleep,0.0
2086,34,47,heavy,duty,0,,2,0,,0.492564,,,,
2087,34,48,seize,bee,1,kill,2,0,,0.08214486,0.4039231836795807,0.27674421668052673,,0.0
2088,34,49,town,god,1,city,2,1,1.0,0.2290586,0.7711463570594788,0.28005439043045044,city,0.0
2089,34,50,last,day,1,slow,2,0,0.0,0.6838184,0.36275604367256165,0.38339003920555115,,0.0
2090,34,51,force,happy,0,,2,1,,0.26116312,,,,
2091,34,52,task,alone,1,job,2,1,0.0,0.3995754,0.4916793406009674,0.3693614602088928,alone,0.0
2092,34,53,scarf,silk,0,,2,1,,0.63188416,,,,
2093,34,54,pack,full,0,,2,0,,0.40528598,,,,
2094,34,55,going,there,1,run,2,1,0.0,0.7492553,0.6179783940315247,0.4991849660873413,there,0.0
2095,34,56,honor,month,0,,2,1,,0.26787153,,,,
2096,34,57,gin,sharp,1,tonic,2,1,,0.16577865,0.48228177428245544,0.22179850935935974,,0.0
2097,34,58,royal,hotel,1,crown,2,1,1.0,0.34354278,0.5741106867790222,0.18478403985500336,crown,0.0
2098,34,59,mend,hot,1,fix,2,1,,0.094790205,0.4969513416290283,0.24390219151973724,,0.0
2099,34,60,vine,navy,0,,2,1,,0.12478929,,,,
