,id,pair,cue,target,cond,group,guess,phase,corr,corr_g,c2t,c2g,t2g,finguess,intrusions
1690,28,11,tile,sand,0,B,,1,0,,0.39506063,,,,0.0
1691,28,12,cabin,jelly,0,B,,1,0,,0.061660893,,,,0.0
1692,28,13,many,all,2,B,,1,1,0.0,0.7478515,,,all,0.0
1693,28,14,sap,laugh,0,B,,1,0,,0.08919973,,,,0.0
1694,28,15,inch,cover,2,B,ruler,1,1,0.0,0.23288062,0.2220769077539444,0.08357203006744385,cover,0.0
1695,28,16,bike,paint,2,B,bike paint,1,0,0.0,0.31452736,,,paint,0.0
1696,28,17,baby,toy,0,B,,1,1,,0.5090242,,,,0.0
1697,28,18,pious,add,0,B,,1,0,,-0.005233292,,,,0.0
1698,28,19,write,step,0,B,,1,0,0.0,0.36689934,,,na,0.0
1699,28,20,fairy,paper,0,B,,1,1,,0.25410262,,,,0.0
1700,28,21,think,know,0,B,,1,0,,0.88507104,,,,0.0
1701,28,22,wart,news,2,B,,1,0,0.0,-0.0072534606,,,mart,0.0
1702,28,23,mild,track,0,B,,1,0,,0.10546857,,,,0.0
1703,28,24,night,show,0,B,,1,0,,0.5008233,,,,0.0
1704,28,25,best,great,0,B,,1,0,,0.70658535,,,,0.0
1705,28,26,wrong,kill,0,B,,1,0,,0.45672953,,,,0.0
1706,28,27,jog,rent,2,B,,1,0,0.0,0.08143854,,,na,0.0
1707,28,28,acorn,minus,2,B,paper acorn,1,0,0.0,0.08931689,,,paper,0.0
1708,28,29,dent,fire,0,B,indent,1,0,0.0,0.17562199,0.1924269050359726,0.03863351792097092,na,0.0
1709,28,30,cent,art,0,B,,1,0,,0.072835386,,,,0.0
1710,28,31,shiny,layer,0,B,,2,1,,0.2976558,,,,
1711,28,32,blues,music,0,B,,2,1,,0.5405771,,,,
1712,28,33,dip,bossy,0,B,,2,0,,-0.013717066,,,,
1713,28,34,notes,stair,0,B,note stair,2,0,0.0,0.05721494,,,na,0.0
1714,28,35,bun,lake,0,B,bun lake,2,0,0.0,0.08999329,,,na,0.0
1715,28,36,agony,hound,0,B,,2,0,,0.2622713,,,,
1716,28,37,tug,vote,0,B,tug vote,2,0,0.0,0.0065951585,,,war,0.0
